@relation newData

@attribute attr1 numeric
@attribute attr2 numeric
@attribute attr3 numeric
@attribute attr4 numeric
@attribute attr5 numeric
@attribute attr6 numeric
@attribute label {buggy,clean}

@data
73,13,4,8,3,3,?
41,6,4,6,1,2,?
50,5,4,17,1,2,?
20,0,1,0,0,0,?
82,12,2,13,0,2,?
63,8,2,9,1,1,?
87,14,2,15,0,3,?
78,11,2,12,0,2,?
80,9,2,9,2,3,?
94,10,3,16,0,3,?
106,10,3,20,0,5,?
59,7,3,13,1,2,?
43,5,2,4,0,0,?
33,6,1,5,0,0,?
29,7,1,4,0,0,?
33,6,1,5,0,0,?
47,4,2,7,0,1,?
74,12,3,10,1,0,?
57,10,3,10,0,0,?
130,15,3,21,2,6,?
37,6,3,6,1,0,?
62,10,3,8,1,1,?
49,4,3,4,0,0,?
42,7,2,8,1,0,?
30,10,2,9,1,0,?
57,8,2,11,3,0,?
65,5,3,18,0,1,?
124,16,11,28,0,5,?
109,9,8,21,0,3,?
89,4,2,16,0,5,?
183,11,19,33,1,1,?
240,9,14,49,1,6,?
99,6,6,30,0,8,?
268,12,10,12,0,21,?
74,7,6,10,1,4,?
330,24,14,43,0,41,?
62,5,4,6,0,3,?
105,13,6,10,0,4,?
62,7,3,8,0,2,?
212,19,15,35,1,24,?
124,6,7,35,0,11,?
135,21,8,33,3,9,?
53,8,5,0,1,2,?
224,14,13,23,0,7,?
151,9,9,11,0,1,?
62,6,4,4,0,4,?
9,2,1,0,0,0,?
39,7,5,6,2,1,?
45,4,1,14,0,0,?
692,42,21,169,15,35,?
133,12,11,55,0,0,?
42,4,5,19,0,2,?
148,7,9,15,0,4,?
123,6,8,6,1,1,?
174,22,6,10,5,4,?
78,17,3,13,10,3,?
62,11,2,15,3,1,?
89,18,5,26,7,4,?
63,11,2,14,3,1,?
129,9,8,30,1,9,?
145,12,14,38,5,6,?
150,11,7,33,0,6,?
114,14,4,5,5,2,?
158,27,8,23,11,7,?
126,9,11,17,0,2,?
18,0,1,0,0,0,?
115,6,10,60,0,8,?
131,12,10,16,2,9,?
113,6,10,60,0,8,?
132,2,12,2,0,0,?
41,0,3,0,0,0,?
191,18,8,26,8,6,?
259,33,13,58,17,6,?
137,25,8,46,1,7,?
33,6,2,6,0,0,?
33,3,2,5,0,1,?
38,7,2,18,0,4,?
164,42,4,21,12,1,?
158,3,7,47,0,2,?
32,5,1,3,0,0,?
16,3,2,0,0,0,?
26,2,2,6,0,1,?
83,16,1,24,4,5,?
44,8,3,7,2,0,?
55,4,2,4,0,0,?
28,7,2,6,1,1,?
38,3,3,6,1,2,?
131,25,8,46,1,7,?
45,10,2,9,1,0,?
47,6,2,5,0,2,?
46,6,2,8,1,1,?
45,5,2,14,1,2,?
26,2,2,8,0,1,?
17,5,1,5,2,0,?
49,6,2,4,4,2,?
57,6,4,4,1,0,?
158,22,7,42,3,8,?
17,2,1,3,1,1,?
49,2,2,9,0,1,?
53,11,3,14,2,3,?
83,12,3,23,1,3,?
26,2,3,12,1,2,?
171,17,11,36,0,9,?
46,9,1,12,5,1,?
43,4,2,8,1,2,?
70,5,3,19,2,2,?
27,3,3,8,1,1,?
144,17,4,19,3,4,?
59,9,2,9,3,1,?
79,9,4,6,4,2,?
55,10,3,8,4,3,?
53,10,2,3,5,1,?
38,7,2,3,2,2,?
74,7,3,15,1,3,?
32,6,2,3,2,0,?
89,17,2,10,4,1,?
66,13,3,20,4,6,?
62,9,3,5,2,4,?
63,9,2,8,1,5,?
55,9,2,5,2,3,?
52,13,2,14,1,0,?
224,35,12,34,14,4,?
131,12,5,20,2,4,?
67,11,3,23,2,4,?
605,62,14,83,10,1,?
98,10,7,21,0,0,?
114,10,5,21,0,0,?
93,11,11,28,0,6,?
108,21,5,26,3,3,?
11,1,1,4,0,0,?
348,49,11,48,9,17,?
61,6,2,5,1,0,?
131,17,7,27,0,7,?
50,7,2,4,2,0,?
81,9,3,9,3,5,?
59,8,4,9,2,1,?
96,6,4,10,0,2,?
65,10,5,6,7,1,?
76,6,3,6,1,1,?
95,12,8,14,1,5,?
